,month_start,year_start,fire_duration,incident_acres_burned,season_fall,season_spring,season_summer,season_winter
54,1,2024,0,50,0,0,1,0
55,4,2021,1,75,0,0,1,0
56,3,2021,6,8073,1,0,0,0
57,5,2022,2,482,0,0,1,0
58,2,2021,3,572,0,0,1,0
59,3,2023,1,75,0,1,0,0
60,2,2023,0,85,0,0,1,0
61,7,2024,1,80,0,0,1,0
62,2,2023,0,20,1,0,0,0
63,5,2023,1,175,0,0,1,0
64,1,2021,1,487,0,0,1,0
65,10,2022,3,210,1,0,0,0
66,5,2023,26,97717,1,0,0,0
67,2,2021,6,1375,1,0,0,0
68,3,2023,18,5503,0,0,1,0
69,9,2021,120,190,0,0,1,0
70,11,2021,5,5367,0,0,1,0
71,9,2023,19,35302,0,0,1,0
72,5,2024,2,400,0,1,0,0
73,11,2023,0,30,0,0,1,0
74,10,2024,3,75,0,0,1,0
75,3,2021,2,85,0,0,1,0
76,10,2023,4,1457,0,0,1,0
77,2,2023,8,4240,0,0,1,0
78,2,2023,1,57,0,1,0,0
79,7,2022,10,1680,0,0,1,0
80,9,2024,3,0,0,0,1,0
81,11,2024,1,70,1,0,0,0
82,5,2023,3,25,0,0,1,0
83,2,2022,117,274,0,0,1,0
84,6,2021,4,27,1,0,0,0
85,11,2024,1,106,0,0,0,1
86,10,2023,11,1952,0,0,0,1
87,10,2024,1,23,0,0,1,0
88,8,2024,5,430,0,0,1,0
89,10,2023,1,533,0,0,1,0
90,11,2024,19,55,0,0,1,0
91,12,2022,16,69438,0,0,1,0
92,7,2022,2,75,0,0,1,0
93,10,2023,4,4250,0,0,1,0
94,12,2021,1,60,0,0,1,0
95,12,2023,1,72,1,0,0,0
96,8,2024,4,158,0,0,1,0
97,4,2021,11,21,1,0,0,0
98,8,2022,1,30,0,0,1,0
99,1,2023,3,16,0,0,1,0
100,10,2021,0,40,0,0,1,0
101,8,2021,1,35,0,0,1,0
102,10,2021,16,25118,0,0,1,0
103,6,2024,2,170,1,0,0,0
104,11,2022,2,30,0,0,1,0
105,6,2022,1,25,0,0,1,0
106,3,2021,1,181,0,0,1,0
107,5,2023,12,2446,0,0,1,0
108,1,2022,5,95,0,0,1,0
109,7,2022,45,31359,0,0,1,0
110,12,2022,2,135,0,0,1,0
111,4,2021,4,50,0,0,1,0
112,6,2024,0,170,0,0,1,0
113,2,2022,1,19,0,0,1,0
114,3,2023,0,55,0,0,1,0
115,8,2021,1,25,0,0,1,0
116,5,2022,1,60,0,0,1,0
117,5,2024,5,543,0,0,1,0
118,5,2024,6,86,0,0,1,0
119,1,2023,3,116,0,0,1,0
120,9,2022,1,90,0,0,1,0
121,4,2023,2,75,0,0,1,0
122,9,2023,5,215,0,0,1,0
123,3,2021,6,1049,0,1,0,0
124,8,2022,2,171,0,0,1,0
125,11,2021,5,114,0,0,1,0
126,5,2023,0,195,0,0,1,0
127,5,2022,1,22,0,0,1,0
128,8,2024,4,1388,0,0,0,1
129,2,2022,6,200,0,0,0,1
130,1,2021,6,75,0,0,1,0
131,10,2024,0,21,0,0,1,0
132,3,2024,1,35,0,0,1,0
133,10,2023,0,80,0,0,1,0
134,11,2021,0,2304,0,0,1,0
135,7,2021,0,84,0,0,1,0
136,5,2024,1,15,0,0,1,0
137,6,2024,3,450,0,0,1,0
138,11,2021,3,69,0,0,1,0
139,2,2024,0,304,0,0,1,0
140,1,2023,5,215,1,0,0,0
141,7,2021,7,36274,0,0,1,0
142,5,2021,13,599,0,0,1,0
143,9,2023,0,88,0,0,1,0
144,7,2021,51,4347,1,0,0,0
145,8,2023,1,35,0,0,1,0
146,6,2022,0,45,0,0,1,0
147,12,2022,0,30,0,1,0,0
148,1,2023,1,277,0,0,1,0
149,8,2022,15,0,0,0,1,0
150,1,2022,20,5646,0,0,1,0
151,10,2023,10,248,1,0,0,0
152,10,2022,9,7050,0,0,1,0
153,4,2022,0,30,0,0,1,0
154,10,2022,4,441,0,0,1,0
155,8,2024,0,360,1,0,0,0
156,9,2021,3,380,1,0,0,0
157,5,2021,1,40,1,0,0,0
158,2,2023,358,4474,1,0,0,0
159,4,2022,4,210,0,0,1,0
160,5,2021,8,1080,1,0,0,0
161,10,2021,26,2652,1,0,0,0
162,2,2024,4,1547,1,0,0,0
163,1,2024,1,61,0,0,1,0
164,5,2023,3,518,0,0,1,0
165,3,2022,1,33867,0,0,1,0
166,12,2023,16,2520,0,0,1,0
167,6,2024,1,5443,1,0,0,0
168,8,2023,10,2241,0,0,1,0
169,1,2021,5,150,0,0,1,0
170,7,2024,0,278,0,0,1,0
171,8,2021,4,88,0,0,1,0
172,9,2021,2,86,0,0,1,0
173,5,2024,3,47,1,0,0,0
174,2,2022,1,57,0,0,1,0
175,2,2023,3,139,0,0,1,0
176,11,2023,2,45,1,0,0,0
177,9,2023,1,32,1,0,0,0
178,10,2023,1,36,0,0,1,0
179,7,2023,1,36,0,0,1,0
180,8,2021,2,169,0,0,1,0
181,11,2022,3,3876,0,0,1,0
182,1,2022,11,7609,0,0,1,0
183,10,2023,1,138,0,0,1,0
184,11,2022,99,100,1,0,0,0
185,2,2021,198,0,0,0,1,0
186,11,2024,240,17,0,0,1,0
187,3,2023,160,70,0,0,1,0
188,2,2021,186,36,0,0,1,0
189,4,2024,143,168,0,0,1,0
190,12,2024,128,680,1,0,0,0
191,10,2023,281,45,0,1,0,0
192,1,2023,168,0,0,0,1,0
193,3,2024,218,20,0,0,1,0
194,2,2022,70,37,1,0,0,0
195,5,2024,39,281893,0,0,0,1
196,3,2023,149,19,0,0,1,0
197,8,2024,98,20,1,0,0,0
198,6,2021,57,370,0,0,0,1
199,2,2022,102,35,1,0,0,0
200,11,2023,133,6042,0,0,1,0
201,1,2024,212,186,0,0,1,0
202,9,2024,204,168,0,0,1,0
203,5,2024,216,157,0,0,1,0
204,12,2021,236,10343,0,0,1,0
205,8,2023,167,51,0,0,1,0
206,4,2023,214,35,0,0,1,0
207,10,2024,183,70,0,0,1,0
208,12,2022,176,40,0,0,1,0
209,1,2023,194,41,0,0,1,0
210,3,2024,130,7194,1,0,0,0
211,4,2023,105,26,1,0,0,0
212,11,2022,75,194,1,0,0,0
213,9,2022,187,28687,0,0,1,0
214,1,2022,176,117,0,0,1,0
215,5,2021,170,184,1,0,0,0
216,2,2022,177,40,0,0,1,0
217,2,2022,155,3142,0,0,1,0
218,6,2022,36,40,0,0,0,1
219,9,2023,213,1431,0,0,1,0
220,10,2024,236,20,0,0,1,0
221,5,2021,93,0,1,0,0,0
222,3,2024,111,48,1,0,0,0
223,2,2021,171,85,0,0,1,0
224,4,2021,108,55,1,0,0,0
225,8,2022,176,59,0,0,1,0
226,11,2024,208,28,0,0,1,0
227,6,2024,159,10,0,0,1,0
228,6,2024,196,670,0,0,1,0
229,9,2023,135,18,0,0,1,0
230,7,2023,196,25,0,0,1,0
231,1,2021,176,20,0,0,1,0
232,6,2024,90,58,1,0,0,0
233,10,2024,200,357,0,0,1,0
234,6,2021,200,0,0,0,1,0
235,1,2021,181,13,0,0,1,0
236,12,2022,119,995,1,0,0,0
237,5,2024,160,32,0,0,1,0
238,2,2021,120,43,1,0,0,0
239,10,2022,124,36807,1,0,0,0
240,12,2023,19,45,0,0,0,1
241,1,2022,212,450,0,0,1,0
242,6,2021,142,186,0,0,1,0
243,8,2023,159,325,0,0,1,0
244,10,2022,198,155,1,0,0,0
245,6,2024,132,18618,0,0,1,0
246,2,2022,27,19,0,0,0,1
247,9,2023,191,14,0,0,1,0
248,4,2023,93,40,1,0,0,0
249,3,2022,134,10,0,0,1,0
250,2,2023,156,1020,0,0,1,0
251,8,2021,92,130,1,0,0,0
252,3,2021,119,58,1,0,0,0
253,6,2022,186,90,0,0,1,0
254,3,2023,244,15619,0,0,0,1
255,12,2022,195,0,0,0,1,0
256,4,2022,135,44,0,0,1,0
257,5,2021,205,153,0,0,1,0
258,5,2021,187,0,0,0,1,0
259,9,2022,255,126,0,1,0,0
260,12,2021,207,32,0,0,1,0
261,8,2024,170,170,0,0,1,0
262,8,2023,132,27,0,0,1,0
263,7,2021,93,20,1,0,0,0
264,4,2022,184,340,0,0,1,0
265,9,2022,219,67,0,0,1,0
266,12,2022,124,36523,1,0,0,0
267,7,2024,167,140,0,0,1,0
268,5,2023,240,20,0,0,1,0
269,6,2021,24,14,0,0,0,1
270,12,2023,185,62,0,0,1,0
271,3,2022,152,338,0,0,1,0
272,7,2023,177,81826,0,0,1,0
273,1,2021,202,54,0,0,1,0
274,1,2023,126,2575,1,0,0,0
275,9,2022,155,82,0,0,1,0
276,5,2021,128,100,1,0,0,0
277,11,2024,235,0,0,0,1,0
278,11,2024,244,400,0,0,1,0
279,1,2022,123,76,1,0,0,0
280,6,2021,219,33,0,0,1,0
281,9,2021,188,22,0,0,1,0
282,1,2021,160,2295,0,0,1,0
283,8,2022,225,10,0,0,1,0
284,9,2022,123,17357,1,0,0,0
285,12,2023,162,11,0,0,1,0
286,2,2022,33,300,0,0,0,1
287,4,2021,185,74,0,0,1,0
288,11,2021,236,14,0,0,1,0
289,6,2021,136,62,0,0,1,0
290,9,2021,225,16,0,0,1,0
291,1,2021,168,13,0,0,1,0
292,8,2022,173,416,0,0,1,0
293,2,2021,208,105,0,0,1,0
294,9,2021,165,135,0,0,1,0
295,9,2023,253,19,0,0,1,0
296,5,2022,229,1000,0,0,1,0
297,11,2022,105,74,1,0,0,0
298,10,2021,175,58,0,0,1,0
299,12,2021,176,70,0,0,1,0
300,11,2022,111,245,1,0,0,0
301,5,2024,165,57,0,0,1,0
302,12,2023,86,31,1,0,0,0
303,1,2024,159,7697,0,0,1,0
304,1,2021,210,22,0,0,1,0
305,2,2021,174,319,0,0,1,0
306,10,2022,239,225,0,0,1,0
307,4,2022,104,18900,1,0,0,0
308,9,2021,155,4736,0,0,1,0
309,10,2022,237,17,0,0,1,0
310,2,2024,163,2289,0,0,1,0
311,6,2023,162,5247,0,0,1,0
312,9,2024,187,1626,0,0,1,0
313,3,2023,176,50,0,0,1,0
314,7,2024,132,28,0,0,1,0
315,10,2022,254,1350,0,1,0,0
316,12,2024,148,545,0,0,1,0
317,5,2022,136,40,0,0,1,0
318,5,2023,189,34,0,0,1,0
319,9,2021,160,460,0,0,1,0
320,3,2021,85,391,1,0,0,0
321,2,2021,98,17,1,0,0,0
322,5,2021,188,21,0,0,1,0
323,10,2021,281,380,0,1,0,0
324,2,2023,195,15,0,0,1,0
325,1,2022,212,38,0,0,1,0
326,3,2024,185,18430,0,0,1,0
327,2,2023,186,58,0,0,1,0
328,2,2024,247,12,0,0,1,0
329,6,2022,130,1319,1,0,0,0
330,6,2021,210,20,0,0,1,0
331,4,2022,35,34,0,0,0,1
332,6,2022,120,50,1,0,0,0
333,4,2022,188,39,1,0,0,0
334,5,2021,159,30,0,0,1,0
335,8,2023,201,111,0,0,1,0
336,7,2024,216,339,0,0,1,0
337,6,2021,217,91,0,0,1,0
338,3,2021,133,55,0,0,1,0
339,8,2024,215,12,0,0,1,0
340,12,2021,150,117,0,0,1,0
341,2,2024,163,39,0,0,1,0
342,12,2021,131,103,0,0,1,0
343,5,2022,170,822,0,0,1,0
344,7,2024,49,10,0,0,0,1
345,6,2024,200,115,0,0,1,0
346,7,2022,147,2162,0,0,1,0
347,11,2021,217,127,0,0,1,0
348,7,2024,104,360,1,0,0,0
349,8,2021,180,56,0,0,1,0
350,12,2021,66,550,1,0,0,0
351,12,2022,17,153336,0,0,0,1
352,5,2024,217,14,0,0,1,0
353,4,2024,83,167,1,0,0,0
354,6,2023,245,300,0,0,1,0
355,11,2024,178,11,0,0,1,0
356,2,2024,174,14,0,0,1,0
357,3,2021,77,58,1,0,0,0
358,3,2022,173,38134,0,0,1,0
359,9,2024,170,77,0,0,1,0
360,3,2022,98,261,1,0,0,0
361,6,2022,215,10,0,0,1,0
362,9,2021,253,20,0,1,0,0
363,10,2021,207,62,0,0,1,0
364,3,2024,214,1352,0,0,1,0
365,9,2021,160,30,0,0,1,0
366,6,2022,160,135,0,0,1,0
367,1,2021,113,400,1,0,0,0
368,4,2021,148,10,0,0,1,0
369,9,2024,148,1900,0,0,1,0
370,3,2021,165,40,0,0,1,0
371,7,2023,161,993,0,0,1,0
372,11,2021,204,20,0,0,1,0
373,7,2023,204,20,0,0,1,0
374,2,2024,162,205,0,0,1,0
375,9,2024,130,88,0,0,1,0
376,10,2024,169,43,0,0,1,0
377,5,2024,188,33,0,0,1,0
378,10,2023,122,13,1,0,0,0
379,4,2021,222,16,0,0,1,0
380,5,2024,84,160,1,0,0,0
381,10,2024,203,4564,0,0,1,0
382,4,2022,168,13,0,0,1,0
383,4,2022,209,96,0,0,1,0
384,11,2024,319,2070,0,0,0,1
385,12,2021,124,36,1,0,0,0
386,7,2021,81,10,1,0,0,0
387,10,2022,173,16,0,0,1,0
388,10,2022,164,167,0,0,1,0
389,4,2023,225,100,0,0,1,0
390,9,2023,216,23,0,0,1,0
391,10,2021,122,150,1,0,0,0
392,6,2022,219,484,0,0,1,0
393,6,2021,209,2290,0,0,1,0
394,2,2021,180,2883,0,0,1,0
395,2,2021,161,18703,0,0,1,0
396,7,2024,216,175,0,0,1,0
397,7,2022,227,59,0,0,1,0
398,9,2022,163,247,0,0,1,0
399,11,2021,135,23,0,0,1,0
400,12,2024,205,70,0,0,1,0
401,7,2022,214,300,0,0,1,0
402,9,2024,104,53,1,0,0,0
403,12,2024,195,170,0,0,1,0
404,7,2021,215,38,0,0,1,0
405,4,2021,239,12,0,0,1,0
406,10,2022,202,40,0,0,1,0
407,4,2022,86,15,1,0,0,0
408,8,2022,122,6974,1,0,0,0
409,4,2023,240,18,0,0,1,0
410,3,2021,123,1120,1,0,0,0
411,10,2024,51,20,0,0,0,1
412,2,2021,142,668,0,0,1,0
413,11,2022,184,63,0,0,1,0
414,1,2023,153,30,0,0,1,0
415,9,2023,230,27,0,0,1,0
416,10,2022,231,26,0,0,1,0
417,7,2021,183,38008,0,0,1,0
418,1,2023,184,316,0,0,1,0
419,2,2023,182,1350,0,0,1,0
420,3,2021,114,200,1,0,0,0
421,4,2022,175,12,0,0,1,0
422,9,2022,189,70,0,0,1,0
423,12,2022,263,15,0,1,0,0
424,9,2024,213,10,0,0,1,0
425,4,2022,215,37,0,0,1,0
426,8,2024,169,34,0,0,1,0
427,10,2022,167,67,0,0,1,0
428,6,2023,226,56,0,0,1,0
429,6,2023,209,12,0,0,1,0
430,6,2022,217,23,0,0,1,0
431,2,2022,269,21,0,1,0,0
432,2,2021,256,18,0,1,0,0
433,10,2021,247,1756,0,0,1,0
434,8,2021,138,1014,0,0,1,0
435,4,2023,211,200,0,0,1,0
436,5,2024,166,320,0,0,1,0
437,6,2024,156,66,0,0,1,0
438,2,2022,94,150,1,0,0,0
439,11,2023,138,155,0,0,1,0
440,7,2021,140,30,0,0,1,0
441,2,2024,214,12,0,0,1,0
442,3,2021,205,60,0,0,1,0
443,11,2021,215,11,0,0,1,0
444,9,2023,178,12,0,0,1,0
445,7,2024,160,207,0,0,1,0
446,2,2022,173,224,0,0,1,0
447,3,2021,176,962,0,0,1,0
448,7,2023,194,68,0,0,1,0
449,3,2024,203,53,0,0,1,0
450,11,2021,173,50,0,0,1,0
451,2,2024,116,152,1,0,0,0
452,4,2021,173,32,0,0,1,0
453,9,2024,156,700,0,0,1,0
454,4,2022,50,20,0,0,0,1
455,1,2021,180,640,0,0,1,0
456,12,2024,229,88,0,0,1,0
457,6,2022,189,268,0,0,1,0
458,7,2021,104,3380,1,0,0,0
459,4,2022,118,573,1,0,0,0
460,11,2024,151,23136,0,0,1,0
461,10,2024,174,33,0,0,1,0
462,7,2024,175,2100,0,0,1,0
463,9,2024,204,646,0,0,1,0
464,12,2024,182,10,0,0,1,0
465,5,2022,57,4531,0,0,0,1
466,7,2022,130,36,0,0,1,0
467,3,2021,330,50,0,0,0,1
468,3,2021,235,12,0,0,1,0
469,7,2024,282,11,0,1,0,0
470,1,2022,156,67,0,0,1,0
471,11,2024,1,2422,0,0,1,0
472,6,2022,1,11,1,0,0,0
473,6,2021,3,17,0,0,1,0
474,12,2021,1,10,1,0,0,0
475,5,2024,2,75,1,0,0,0
476,6,2023,2,283,0,0,1,0
477,8,2021,7,207,0,0,1,0
478,1,2021,4,27,0,0,1,0
479,2,2024,7,5737,1,0,0,0
480,3,2021,2,37,1,0,0,0
481,5,2022,0,16,1,0,0,0
482,8,2023,6,22,0,0,1,0
483,6,2022,1,526,1,0,0,0
484,9,2024,0,20,0,0,1,0
485,1,2021,1,94,0,0,1,0
486,12,2023,6,1127,0,0,1,0
487,5,2022,0,11,1,0,0,0
488,7,2022,3,210,0,0,1,0
489,8,2024,88,5332,1,0,0,0
490,7,2024,0,47,0,0,1,0
491,9,2023,4,26,0,0,1,0
492,5,2024,0,21,0,0,1,0
493,9,2023,1,18,1,0,0,0
494,4,2021,2,75,1,0,0,0
495,3,2022,21,8799,1,0,0,0
496,10,2024,6,220,1,0,0,0
497,2,2022,0,90,0,0,1,0
498,2,2023,1,120,0,0,1,0
499,9,2023,0,33,0,0,1,0
500,2,2023,0,29,1,0,0,0
501,7,2024,0,68,1,0,0,0
502,2,2021,0,80,0,0,1,0
503,4,2024,3,10,1,0,0,0
504,9,2022,1,202,0,0,1,0
505,12,2022,14,30,0,0,0,1
506,2,2023,1,83,1,0,0,0
507,6,2024,5,80,0,0,1,0
508,7,2022,1,30,0,0,1,0
509,10,2021,0,20,0,0,1,0
510,8,2022,5,172,0,0,1,0
511,10,2022,7,167,1,0,0,0
512,11,2022,9,1301,0,0,1,0
513,3,2022,9,70,0,0,1,0
514,6,2022,9,1350,0,0,1,0
515,3,2021,4,600,0,0,1,0
516,2,2023,0,19,0,0,0,1
517,11,2021,1,28,0,0,1,0
518,11,2021,3,15,1,0,0,0
519,6,2021,1,25,0,0,1,0
520,7,2022,10,42,1,0,0,0
521,2,2023,7,121,0,0,1,0
522,9,2023,0,80,1,0,0,0
523,7,2023,3,85,1,0,0,0
524,2,2024,0,22,1,0,0,0
525,7,2024,3,97,1,0,0,0
526,2,2021,1,131,0,0,1,0
527,7,2023,5,260,1,0,0,0
528,11,2022,13,244,1,0,0,0
529,11,2024,3,128,0,0,1,0
530,7,2023,1,47,0,0,1,0
531,12,2021,0,12,0,0,1,0
532,5,2022,76,10296,1,0,0,0
533,5,2023,0,52,1,0,0,0
534,3,2024,1,250,1,0,0,0
535,3,2022,8,115,0,1,0,0
536,11,2023,8,745,1,0,0,0
537,5,2023,1,140,1,0,0,0
538,5,2022,1,75,0,0,0,1
539,2,2022,0,11,1,0,0,0
540,6,2022,0,2,0,0,1,0
541,3,2023,0,19,1,0,0,0
542,10,2021,5,200,1,0,0,0
543,4,2022,76,1975,1,0,0,0
544,10,2024,7,50,0,0,1,0
545,3,2022,0,74,0,0,1,0
546,10,2021,4,45,0,0,1,0
547,2,2024,0,300,1,0,0,0
548,12,2023,3,20,0,0,1,0
549,3,2021,4,279,1,0,0,0
550,4,2023,5,200,1,0,0,0
551,6,2024,19,3126,0,0,0,1
552,9,2024,1,190,0,0,1,0
553,2,2024,19,227,1,0,0,0
554,4,2023,3,10,1,0,0,0
555,7,2023,0,19,0,0,1,0
556,4,2023,9,257,0,0,1,0
557,3,2022,14,14217,0,0,1,0
558,10,2024,4,420,1,0,0,0
559,9,2022,1,89,0,0,1,0
560,2,2024,3,75,0,0,1,0
561,5,2022,0,2,0,0,1,0
562,5,2023,16,10,0,0,1,0
563,5,2021,1,100,0,0,1,0
564,10,2024,8,45,1,0,0,0
565,2,2021,3,19,0,0,1,0
566,2,2023,0,424,0,0,1,0
567,1,2024,2,45,0,0,1,0
568,1,2023,2,52,0,0,1,0
569,7,2021,2,275,0,0,1,0
570,9,2023,1,280,0,0,1,0
571,7,2024,2,156,0,0,1,0
572,11,2021,0,36,0,0,1,0
573,5,2022,0,500,0,0,1,0
574,3,2022,1,18,0,0,1,0
575,7,2022,1,227,1,0,0,0
576,7,2023,1,108,0,0,1,0
577,12,2022,0,55,0,0,1,0
578,8,2023,2,61,1,0,0,0
579,4,2023,2,111,1,0,0,0
580,7,2022,0,110,0,0,1,0
581,6,2021,2,33,0,0,1,0
582,9,2024,3,48,0,0,1,0
583,6,2021,3,560,0,0,1,0
584,11,2021,1,13,1,0,0,0
585,12,2022,0,17,0,0,1,0
586,6,2022,1,27,0,0,1,0
587,8,2024,3,102,0,0,0,1
588,9,2023,0,33,0,0,1,0
589,11,2022,0,37,0,0,1,0
590,3,2023,1,138,0,0,1,0
591,2,2022,3,85,0,0,1,0
592,7,2022,44,396624,0,0,1,0
593,12,2021,1,65,0,0,1,0
594,11,2022,1,170,1,0,0,0
595,1,2022,44,684,0,0,1,0
596,1,2022,1,1933,0,0,0,1
597,4,2021,3,100,0,0,1,0
598,12,2021,0,12,0,0,1,0
599,10,2022,11,1087,0,0,0,1
600,1,2024,0,95,0,0,1,0
601,12,2021,3,185,0,0,1,0
602,11,2024,0,80,0,0,1,0
603,8,2022,11,705,0,0,1,0
604,12,2024,0,89,0,0,1,0
605,1,2022,9,0,1,0,0,0
606,12,2024,2,107,0,0,1,0
607,7,2021,1,45,1,0,0,0
608,12,2024,1,145,0,0,1,0
609,2,2024,1,30,0,0,1,0
610,6,2023,1,20,1,0,0,0
611,1,2021,1,71,0,0,1,0
612,12,2021,10,50,1,0,0,0
613,2,2021,0,57,0,0,0,1
614,12,2024,16,56338,1,0,0,0
615,4,2022,2,25,0,0,1,0
616,10,2022,1,230,0,0,1,0
617,3,2024,2,210,0,0,1,0
618,8,2022,1,300,0,0,1,0
619,2,2022,4,1050,0,0,1,0
620,7,2023,1,135,0,0,1,0
621,12,2024,0,47,0,1,0,0
622,5,2024,3,253,0,0,1,0
623,2,2023,0,13,0,0,1,0
624,11,2022,8,5513,0,0,1,0
625,2,2023,4,445,0,0,1,0
626,12,2022,22,120,0,0,1,0
627,3,2021,3,1508,0,0,1,0
628,2,2024,2,157,0,0,1,0
629,9,2023,5,143,0,0,1,0
630,7,2021,4,195,0,0,1,0
631,11,2021,3,200,0,0,1,0
632,5,2021,27,83261,0,0,1,0
633,10,2021,18,29570,0,0,1,0
634,7,2024,72,22744,1,0,0,0
635,6,2024,2,230,1,0,0,0
636,2,2021,5,129,0,0,1,0
637,7,2023,3,250,0,0,1,0
