,month_start,year_start,date_start,fire_duration,incident_acres_burned,season_fall,season_spring,season_summer,season_winter
82,5,2017,2017-05-17,237,150,0,0,1,0
83,5,2018,2018-05-09,240,127,0,0,1,0
84,5,2017,2017-05-17,237,17,0,0,1,0
85,5,2017,2017-05-16,238,18,0,0,1,0
86,5,2017,2017-05-01,253,19,0,0,1,0
87,5,2017,2017-05-02,252,130,0,0,1,0
88,5,2017,2017-05-07,247,12,0,0,1,0
89,5,2017,2017-05-10,244,400,0,0,1,0
90,5,2017,2017-05-12,242,31,0,0,1,0
91,5,2017,2017-05-12,242,1800,0,0,1,0
92,5,2017,2017-05-14,240,20,0,0,1,0
93,5,2017,2017-05-14,240,17,0,0,1,0
94,5,2017,2017-05-14,240,41,0,0,1,0
95,5,2017,2017-05-18,236,225,0,0,1,0
96,5,2017,2017-05-15,239,225,0,0,1,0
108,5,2017,2017-05-15,239,288,0,0,1,0
109,5,2017,2017-05-29,225,10,0,0,1,0
110,5,2017,2017-05-31,223,79,0,0,1,0
111,5,2017,2017-05-29,225,16,0,0,1,0
112,5,2018,2018-05-17,232,60,0,0,1,0
113,5,2018,2018-05-29,220,63,0,0,1,0
114,5,2018,2018-05-30,219,484,0,0,1,0
116,5,2017,2017-05-19,235,486,0,0,1,0
118,5,2017,2017-05-18,236,10343,0,0,1,0
119,5,2017,2017-05-18,236,20,0,0,1,0
120,5,2017,2017-05-18,236,14,0,0,1,0
121,5,2017,2017-05-19,235,70,0,0,1,0
122,5,2017,2017-05-19,235,0,0,0,1,0
123,5,2017,2017-05-20,234,2056,0,0,1,0
124,5,2017,2017-05-20,234,17,0,0,1,0
125,5,2017,2017-05-20,234,506,0,0,1,0
126,5,2017,2017-05-20,234,190,0,0,1,0
127,5,2017,2017-05-24,230,25,0,0,1,0
128,5,2017,2017-05-22,232,21,0,0,1,0
129,5,2017,2017-05-21,233,35,0,0,1,0
130,5,2017,2017-05-25,229,1000,0,0,1,0
131,5,2017,2017-05-25,229,120,0,0,1,0
132,5,2017,2017-05-28,226,10,0,0,1,0
133,5,2017,2017-05-28,226,16,0,0,1,0
134,5,2017,2017-05-28,226,48,0,0,1,0
135,5,2017,2017-05-28,226,15,0,0,1,0
136,5,2017,2017-05-28,226,18,0,0,1,0
137,5,2018,2018-05-10,239,12,0,0,1,0
139,5,2018,2018-05-28,221,75,0,0,1,0
141,5,2019,2019-05-01,7,50,0,0,1,0
147,5,2019,2019-05-03,5,172,0,0,1,0
149,5,2019,2019-05-20,4,63,0,0,1,0
156,5,2019,2019-05-07,2,2500,0,0,1,0
159,5,2019,2019-05-20,4,26,0,0,1,0
160,5,2019,2019-05-29,5,835,0,0,1,0
161,5,2019,2019-05-29,7,121,0,0,1,0
162,5,2019,2019-05-30,4,45,0,0,1,0
163,5,2019,2019-05-30,12,144,0,0,1,0
164,5,2019,2019-05-29,26,55,0,0,1,0
165,5,2019,2019-05-18,6,130,0,0,1,0
166,5,2019,2019-05-10,14,65,0,0,1,0
176,5,2019,2019-05-13,6,22,0,0,1,0
177,5,2020,2020-05-07,2,156,0,0,1,0
178,5,2020,2020-05-28,0,60,0,0,1,0
179,5,2020,2020-05-27,1,5000,0,0,1,0
180,5,2020,2020-05-22,1,20,0,0,1,0
181,5,2020,2020-05-18,0,20,0,0,1,0
182,5,2020,2020-05-08,0,17,0,0,1,0
183,5,2020,2020-05-03,0,2060,0,0,1,0
184,6,2020,2020-06-10,2,289,0,0,1,0
185,6,2020,2020-06-09,3,1100,0,0,1,0
186,6,2020,2020-06-09,1,151,0,0,1,0
187,6,2020,2020-06-08,0,20,0,0,1,0
188,6,2017,2017-06-09,214,14,0,0,1,0
189,6,2020,2020-06-10,1,1672,0,0,1,0
190,6,2020,2020-06-08,1,230,0,0,1,0
191,6,2020,2020-06-08,1,27,0,0,1,0
192,6,2020,2020-06-08,0,80,0,0,1,0
193,6,2020,2020-06-08,1,100,0,0,1,0
194,6,2020,2020-06-06,1,100,0,0,1,0
195,6,2020,2020-06-12,5,5042,0,0,1,0
196,6,2020,2020-06-11,2,90,0,0,1,0
197,6,2020,2020-06-11,0,40,0,0,1,0
198,6,2020,2020-06-07,3,85,0,0,1,0
199,6,2020,2020-06-12,26,533,0,0,1,0
200,6,2020,2020-06-13,3,191,0,0,1,0
201,6,2020,2020-06-13,0,10,0,0,1,0
202,6,2020,2020-06-15,4,445,0,0,1,0
203,6,2020,2020-06-16,5,895,0,0,1,0
204,6,2017,2017-06-01,222,68,0,0,1,0
205,6,2017,2017-06-01,222,26,0,0,1,0
206,6,2017,2017-06-02,221,16,0,0,1,0
207,6,2020,2020-06-10,7,803,0,0,1,0
208,6,2020,2020-06-18,0,110,0,0,1,0
209,6,2020,2020-06-04,0,15,0,0,1,0
210,6,2020,2020-06-04,3,126,0,0,1,0
217,6,2019,2019-06-01,10,155,0,0,1,0
218,6,2020,2020-06-02,0,37,0,0,1,0
219,6,2019,2019-06-02,9,257,0,0,1,0
220,6,2019,2019-06-03,1,33,0,0,1,0
222,6,2019,2019-06-26,0,90,0,0,1,0
223,6,2019,2019-06-07,4,27,0,0,1,0
224,6,2017,2017-06-03,220,42,0,0,1,0
225,6,2019,2019-06-26,1,148,0,0,1,0
226,6,2019,2019-06-29,1,28,0,0,1,0
227,6,2019,2019-06-29,1,214,0,0,1,0
228,6,2019,2019-06-29,3,210,0,0,1,0
230,6,2019,2019-06-29,0,12,0,0,1,0
231,6,2020,2020-06-22,4,1050,0,0,1,0
232,6,2020,2020-06-21,1,52,0,0,1,0
233,6,2019,2019-06-28,0,2,0,0,1,0
234,6,2019,2019-06-27,0,20,0,0,1,0
235,6,2020,2020-06-16,4,1455,0,0,1,0
236,6,2020,2020-06-05,1,141,0,0,1,0
237,6,2020,2020-06-05,0,39,0,0,1,0
238,6,2017,2017-06-23,200,357,0,0,1,0
239,6,2019,2019-06-26,1,17,0,0,1,0
240,6,2017,2017-06-13,210,20,0,0,1,0
241,6,2017,2017-06-15,208,28,0,0,1,0
242,6,2017,2017-06-15,208,63,0,0,1,0
243,6,2017,2017-06-19,204,1503,0,0,1,0
244,6,2017,2017-06-19,204,168,0,0,1,0
245,6,2017,2017-06-21,202,65,0,0,1,0
246,6,2017,2017-06-21,202,54,0,0,1,0
247,6,2017,2017-06-22,201,21,0,0,1,0
248,6,2017,2017-06-22,201,111,0,0,1,0
249,6,2017,2017-06-13,210,135,0,0,1,0
250,6,2017,2017-06-13,210,50,0,0,1,0
251,6,2017,2017-06-11,212,186,0,0,1,0
252,6,2017,2017-06-13,210,33,0,0,1,0
253,6,2017,2017-06-07,216,339,0,0,1,0
254,6,2017,2017-06-03,220,27,0,0,1,0
255,6,2017,2017-06-22,201,39,0,0,1,0
256,6,2017,2017-06-03,220,25,0,0,1,0
257,6,2017,2017-06-04,219,78,0,0,1,0
258,6,2017,2017-06-04,219,67,0,0,1,0
259,6,2017,2017-06-04,219,10,0,0,1,0
260,6,2017,2017-06-05,218,20,0,0,1,0
261,6,2017,2017-06-05,218,10,0,0,1,0
262,6,2017,2017-06-06,217,91,0,0,1,0
263,6,2017,2017-06-06,217,46,0,0,1,0
264,6,2017,2017-06-07,216,157,0,0,1,0
265,6,2017,2017-06-11,212,38,0,0,1,0
266,6,2017,2017-06-10,213,206,0,0,1,0
267,6,2017,2017-06-09,214,0,0,0,1,0
268,6,2017,2017-06-09,214,35,0,0,1,0
269,6,2017,2017-06-04,219,33,0,0,1,0
270,6,2017,2017-06-14,209,150,0,0,1,0
271,6,2017,2017-06-18,205,56,0,0,1,0
272,6,2017,2017-06-18,205,1522,0,0,1,0
273,6,2017,2017-06-15,208,105,0,0,1,0
274,6,2017,2017-06-10,213,1431,0,0,1,0
275,6,2020,2020-06-21,4,195,0,0,1,0
276,6,2020,2020-06-21,16,10,0,0,1,0
277,6,2020,2020-06-03,1,300,0,0,1,0
278,6,2020,2020-06-20,0,89,0,0,1,0
279,6,2020,2020-06-05,0,79,0,0,1,0
280,6,2020,2020-06-06,2,107,0,0,1,0
281,6,2020,2020-06-06,4,1837,0,0,1,0
282,6,2020,2020-06-11,3,100,0,0,1,0
283,6,2017,2017-06-16,207,134,0,0,1,0
284,6,2020,2020-06-16,1,18,0,0,1,0
285,6,2017,2017-06-18,205,26,0,0,1,0
286,6,2020,2020-06-19,3,217,0,0,1,0
287,6,2020,2020-06-18,4,130,0,0,1,0
288,6,2020,2020-06-17,1,165,0,0,1,0
289,6,2017,2017-06-16,207,32,0,0,1,0
290,6,2017,2017-06-11,212,76,0,0,1,0
291,6,2017,2017-06-11,212,450,0,0,1,0
292,6,2017,2017-06-11,212,32,0,0,1,0
293,6,2017,2017-06-13,210,22,0,0,1,0
294,6,2017,2017-06-17,206,800,0,0,1,0
295,6,2017,2017-06-18,205,60,0,0,1,0
296,6,2017,2017-06-18,205,10,0,0,1,0
297,6,2017,2017-06-18,205,153,0,0,1,0
298,6,2017,2017-06-18,205,25,0,0,1,0
299,6,2020,2020-06-18,0,13,0,0,1,0
300,6,2018,2018-06-11,207,4064,0,0,1,0
301,6,2017,2017-06-27,196,670,0,0,1,0
302,6,2019,2019-06-05,6,1127,0,0,1,0
303,6,2018,2018-06-29,189,268,0,0,1,0
304,6,2018,2018-06-29,189,70,0,0,1,0
305,6,2018,2018-06-23,195,62,0,0,1,0
306,6,2018,2018-06-23,195,15185,0,0,1,0
307,6,2018,2018-06-23,195,268,0,0,1,0
308,6,2020,2020-06-17,5,83,0,0,1,0
309,6,2020,2020-06-17,0,95,0,0,1,0
310,6,2019,2019-06-07,4,600,0,0,1,0
311,6,2019,2019-06-08,9,70,0,0,1,0
312,6,2019,2019-06-08,9,2512,0,0,1,0
313,6,2019,2019-06-08,9,50,0,0,1,0
314,6,2019,2019-06-08,9,1350,0,0,1,0
315,6,2019,2019-06-12,12,1764,0,0,1,0
316,6,2019,2019-06-09,2,210,0,0,1,0
317,6,2019,2019-06-10,7,35,0,0,1,0
318,6,2019,2019-06-12,5,43,0,0,1,0
319,6,2019,2019-06-10,1,47,0,0,1,0
320,6,2018,2018-06-30,188,33,0,0,1,0
321,6,2019,2019-06-07,10,24,0,0,1,0
322,6,2019,2019-06-10,1,120,0,0,1,0
323,6,2018,2018-06-30,188,90288,0,0,1,0
324,6,2018,2018-06-14,204,20,0,0,1,0
325,6,2019,2019-06-15,9,17,0,0,1,0
326,6,2018,2018-06-13,205,70,0,0,1,0
327,6,2019,2019-06-14,3,17,0,0,1,0
328,6,2019,2019-06-16,5,10,0,0,1,0
329,6,2019,2019-06-20,1,120,0,0,1,0
330,6,2019,2019-06-17,7,207,0,0,1,0
331,6,2019,2019-06-21,3,525,0,0,1,0
332,6,2018,2018-06-29,189,30,0,0,1,0
333,6,2018,2018-06-27,191,63,0,0,1,0
334,6,2018,2018-06-27,191,441,0,0,1,0
335,6,2018,2018-06-14,204,20,0,0,1,0
336,6,2018,2018-06-24,194,1678,0,0,1,0
337,6,2018,2018-06-24,194,80,0,0,1,0
338,6,2018,2018-06-24,194,163,0,0,1,0
339,6,2018,2018-06-24,194,68,0,0,1,0
340,6,2018,2018-06-29,189,12300,0,0,1,0
341,6,2018,2018-06-29,189,10,0,0,1,0
342,6,2018,2018-06-23,195,3716,0,0,1,0
343,6,2018,2018-06-26,360,375,0,0,1,0
344,6,2018,2018-06-28,190,300,0,0,1,0
345,6,2018,2018-06-23,195,170,0,0,1,0
346,6,2018,2018-06-17,201,17,0,0,1,0
347,6,2018,2018-06-23,195,328,0,0,1,0
348,6,2018,2018-06-21,197,10,0,0,1,0
349,6,2018,2018-06-14,204,60,0,0,1,0
350,6,2019,2019-06-21,3,30,0,0,1,0
351,6,2018,2018-06-14,204,646,0,0,1,0
352,6,2018,2018-06-15,203,4564,0,0,1,0
353,6,2018,2018-06-15,203,60,0,0,1,0
354,6,2018,2018-06-15,203,53,0,0,1,0
355,6,2018,2018-06-16,202,40,0,0,1,0
356,6,2018,2018-06-16,202,32,0,0,1,0
357,6,2018,2018-06-16,202,25,0,0,1,0
358,6,2018,2018-06-17,201,20,0,0,1,0
359,6,2018,2018-06-17,201,185,0,0,1,0
360,6,2018,2018-06-18,200,115,0,0,1,0
361,6,2018,2018-06-19,199,40,0,0,1,0
362,6,2018,2018-06-19,199,10,0,0,1,0
363,6,2018,2018-06-20,198,1500,0,0,1,0
364,6,2018,2018-06-27,191,76,0,0,1,0
365,6,2018,2018-06-26,192,260,0,0,1,0
366,6,2018,2018-06-26,192,347,0,0,1,0
367,6,2017,2017-06-24,199,42,0,0,1,0
368,6,2019,2019-06-22,2,46,0,0,1,0
369,6,2019,2019-06-26,1,2422,0,0,1,0
370,6,2018,2018-06-03,215,11,0,0,1,0
371,6,2018,2018-06-03,215,17,0,0,1,0
372,6,2018,2018-06-03,215,35,0,0,1,0
373,6,2018,2018-06-03,215,12,0,0,1,0
374,6,2018,2018-06-03,215,37,0,0,1,0
375,6,2018,2018-06-03,215,38,0,0,1,0
376,6,2018,2018-06-03,215,10,0,0,1,0
377,6,2018,2018-06-04,214,1352,0,0,1,0
378,6,2017,2017-06-25,198,0,0,0,1,0
379,6,2017,2017-06-28,195,15,0,0,1,0
380,6,2017,2017-06-26,197,6309,0,0,1,0
381,6,2017,2017-06-25,198,36,0,0,1,0
382,6,2017,2017-06-26,197,19,0,0,1,0
383,6,2017,2017-06-26,197,1598,0,0,1,0
384,6,2017,2017-06-27,196,35,0,0,1,0
385,6,2017,2017-06-27,196,38,0,0,1,0
386,6,2017,2017-06-27,196,25,0,0,1,0
387,6,2018,2018-06-29,189,95,0,0,1,0
388,6,2017,2017-06-29,194,85,0,0,1,0
389,6,2017,2017-06-28,195,562,0,0,1,0
390,6,2017,2017-06-28,195,630,0,0,1,0
391,6,2017,2017-06-28,195,0,0,0,1,0
392,6,2017,2017-06-30,193,1200,0,0,1,0
393,6,2017,2017-06-29,194,42,0,0,1,0
394,6,2017,2017-06-29,194,55,0,0,1,0
395,6,2017,2017-06-29,194,41,0,0,1,0
396,6,2017,2017-06-23,200,0,0,0,1,0
397,6,2020,2020-06-17,1,89,0,0,1,0
398,6,2017,2017-06-25,198,760,0,0,1,0
399,6,2018,2018-06-03,215,10,0,0,1,0
400,6,2018,2018-06-02,216,13,0,0,1,0
401,6,2018,2018-06-02,216,10,0,0,1,0
402,6,2018,2018-06-02,216,175,0,0,1,0
403,6,2019,2019-06-10,14,15,0,0,1,0
404,6,2019,2019-06-26,0,2546,0,0,1,0
405,6,2019,2019-06-06,5,23,0,0,1,0
406,6,2019,2019-06-03,8,25,0,0,1,0
408,6,2019,2019-06-25,0,80,0,0,1,0
409,6,2018,2018-06-12,206,20,0,0,1,0
410,6,2018,2018-06-04,214,513,0,0,1,0
411,6,2018,2018-06-04,214,64,0,0,1,0
412,6,2018,2018-06-05,213,10,0,0,1,0
413,6,2018,2018-06-05,213,12,0,0,1,0
414,6,2018,2018-06-06,212,265,0,0,1,0
415,6,2018,2018-06-11,207,62,0,0,1,0
416,6,2018,2018-06-07,211,200,0,0,1,0
417,6,2019,2019-06-24,0,80,0,0,1,0
418,6,2018,2018-06-09,209,2956,0,0,1,0
419,6,2018,2018-06-09,209,12,0,0,1,0
420,6,2018,2018-06-09,209,175,0,0,1,0
421,6,2018,2018-06-09,209,96,0,0,1,0
422,6,2018,2018-06-12,206,215,0,0,1,0
423,6,2018,2018-06-13,205,60,0,0,1,0
424,6,2018,2018-06-11,207,155,0,0,1,0
425,6,2018,2018-06-12,206,154,0,0,1,0
426,6,2018,2018-06-04,214,300,0,0,1,0
427,6,2018,2018-06-04,214,1314,0,0,1,0
428,6,2018,2018-06-01,217,14,0,0,1,0
429,6,2018,2018-06-04,214,12,0,0,1,0
430,6,2018,2018-06-01,217,127,0,0,1,0
431,6,2018,2018-06-01,217,23,0,0,1,0
432,6,2018,2018-06-02,216,23,0,0,1,0
433,6,2018,2018-06-09,209,2290,0,0,1,0
435,6,2020,2020-06-02,5,129,0,0,1,0
452,6,2020,2020-06-24,2,210,0,0,1,0
485,6,2020,2020-06-24,3,12,0,0,1,0
488,6,2020,2020-06-25,3,263,0,0,1,0
489,6,2020,2020-06-26,6,280,0,0,1,0
490,6,2020,2020-06-28,5,2192,0,0,1,0
491,6,2020,2020-06-28,0,33,0,0,1,0
493,6,2020,2020-06-29,0,12,0,0,1,0
497,6,2020,2020-06-30,3,136,0,0,1,0
506,6,2020,2020-06-22,1,338,0,0,1,0
507,6,2020,2020-06-30,24,62,0,0,1,0
510,6,2020,2020-06-22,1,15,0,0,1,0
518,6,2020,2020-06-25,1,202,0,0,1,0
522,6,2020,2020-06-23,3,19,0,0,1,0
523,6,2020,2020-06-23,3,563,0,0,1,0
526,7,2018,2018-07-25,163,247,0,0,1,0
527,7,2018,2018-07-14,174,14,0,0,1,0
528,7,2018,2018-07-25,163,39,0,0,1,0
529,7,2018,2018-07-19,169,282,0,0,1,0
530,7,2018,2018-07-12,176,116,0,0,1,0
531,7,2018,2018-07-15,173,56,0,0,1,0
532,7,2018,2018-07-20,168,63,0,0,1,0
533,7,2018,2018-07-15,173,224,0,0,1,0
534,7,2018,2018-07-15,173,16,0,0,1,0
535,7,2018,2018-07-15,173,32,0,0,1,0
536,7,2018,2018-07-19,169,40,0,0,1,0
537,7,2018,2018-07-20,168,13,0,0,1,0
539,7,2018,2018-07-24,164,167,0,0,1,0
540,7,2020,2020-07-07,2,25,0,0,1,0
541,7,2020,2020-07-09,0,10,0,0,1,0
543,7,2020,2020-07-03,2,157,0,0,1,0
544,7,2020,2020-07-11,4,108,0,0,1,0
545,7,2020,2020-07-13,2,33,0,0,1,0
546,7,2020,2020-07-13,2,91,0,0,1,0
547,7,2020,2020-07-13,13,29667,0,0,1,0
548,7,2018,2018-07-09,179,856,0,0,1,0
549,7,2020,2020-07-15,3,1508,0,0,1,0
550,7,2020,2020-07-15,3,48,0,0,1,0
551,7,2018,2018-07-23,165,229651,0,0,1,0
552,7,2018,2018-07-20,168,110,0,0,1,0
553,7,2018,2018-07-21,167,50,0,0,1,0
554,7,2018,2018-07-21,167,30,0,0,1,0
555,7,2018,2018-07-21,167,37,0,0,1,0
556,7,2018,2018-07-22,166,320,0,0,1,0
557,7,2018,2018-07-15,173,89,0,0,1,0
558,7,2018,2018-07-21,167,67,0,0,1,0
559,7,2018,2018-07-19,169,34,0,0,1,0
560,7,2018,2018-07-23,165,128,0,0,1,0
561,7,2018,2018-07-23,165,40,0,0,1,0
562,7,2018,2018-07-24,164,51,0,0,1,0
563,7,2018,2018-07-25,163,20,0,0,1,0
564,7,2018,2018-07-15,173,50,0,0,1,0
565,7,2018,2018-07-28,160,207,0,0,1,0
566,7,2018,2018-07-17,171,28,0,0,1,0
567,7,2017,2017-07-02,191,11,0,0,1,0
568,7,2017,2017-07-02,191,10,0,0,1,0
569,7,2017,2017-07-01,192,128,0,0,1,0
575,7,2017,2017-07-02,191,14,0,0,1,0
582,7,2017,2017-07-07,186,58,0,0,1,0
584,7,2017,2017-07-02,191,1538,0,0,1,0
586,7,2017,2017-07-03,190,30,0,0,1,0
587,7,2017,2017-07-02,191,225,0,0,1,0
588,7,2017,2017-07-17,176,15,0,0,1,0
589,7,2017,2017-07-28,165,135,0,0,1,0
590,7,2017,2017-07-30,163,124,0,0,1,0
591,7,2017,2017-07-25,168,0,0,0,1,0
592,7,2017,2017-07-30,163,2289,0,0,1,0
593,7,2017,2017-07-19,174,0,0,0,1,0
594,7,2017,2017-07-18,175,58,0,0,1,0
595,7,2017,2017-07-18,175,72,0,0,1,0
596,7,2017,2017-07-18,175,180,0,0,1,0
597,7,2017,2017-07-07,186,74,0,0,1,0
598,7,2017,2017-07-18,175,1083,0,0,1,0
599,7,2017,2017-07-17,176,40,0,0,1,0
600,7,2017,2017-07-17,176,117,0,0,1,0
601,7,2017,2017-07-17,176,70,0,0,1,0
602,7,2017,2017-07-17,176,1649,0,0,1,0
603,7,2017,2017-07-17,176,20,0,0,1,0
604,7,2017,2017-07-16,177,81826,0,0,1,0
605,7,2017,2017-07-16,177,40,0,0,1,0
606,7,2017,2017-07-07,186,36,0,0,1,0
607,7,2017,2017-07-17,176,59,0,0,1,0
608,7,2017,2017-07-03,190,50,0,0,1,0
609,7,2017,2017-07-07,186,90,0,0,1,0
610,7,2017,2017-07-07,186,33,0,0,1,0
611,7,2018,2018-07-15,173,38134,0,0,1,0
612,7,2018,2018-07-27,161,18703,0,0,1,0
613,7,2018,2018-07-27,161,48920,0,0,1,0
614,7,2018,2018-07-27,161,100,0,0,1,0
615,7,2018,2018-07-27,161,410203,0,0,1,0
616,7,2020,2020-07-06,3,75,0,0,1,0
617,7,2018,2018-07-27,161,993,0,0,1,0
618,7,2018,2018-07-31,157,1200,0,0,1,0
619,7,2018,2018-07-31,157,338,0,0,1,0
620,7,2018,2018-07-31,157,972,0,0,1,0
621,7,2018,2018-07-28,160,135,0,0,1,0
622,7,2018,2018-07-29,159,35,0,0,1,0
623,7,2018,2018-07-27,161,365,0,0,1,0
624,7,2018,2018-07-18,170,77,0,0,1,0
625,7,2018,2018-07-25,163,34,0,0,1,0
626,7,2018,2018-07-19,169,43,0,0,1,0
627,7,2018,2018-07-18,170,822,0,0,1,0
628,7,2018,2018-07-17,171,10,0,0,1,0
629,7,2018,2018-07-26,162,205,0,0,1,0
630,7,2018,2018-07-28,160,30,0,0,1,0
631,7,2017,2017-07-04,189,35,0,0,1,0
632,7,2017,2017-07-04,189,57,0,0,1,0
633,7,2017,2017-07-07,186,6033,0,0,1,0
634,7,2017,2017-07-03,190,10,0,0,1,0
635,7,2017,2017-07-07,186,2940,0,0,1,0
636,7,2017,2017-07-06,187,0,0,0,1,0
637,7,2017,2017-07-06,187,28687,0,0,1,0
638,7,2017,2017-07-06,187,1626,0,0,1,0
639,7,2017,2017-07-05,188,22,0,0,1,0
640,7,2017,2017-07-05,188,91,0,0,1,0
641,7,2017,2017-07-08,185,62,0,0,1,0
642,7,2017,2017-07-08,185,74,0,0,1,0
643,7,2017,2017-07-06,187,2269,0,0,1,0
644,7,2017,2017-07-05,188,469,0,0,1,0
645,7,2017,2017-07-05,188,21,0,0,1,0
646,7,2017,2017-07-04,189,205,0,0,1,0
647,7,2017,2017-07-04,189,0,0,0,1,0
648,7,2017,2017-07-04,189,34,0,0,1,0
649,7,2017,2017-07-04,189,50,0,0,1,0
650,7,2017,2017-07-04,189,18,0,0,1,0
651,7,2017,2017-07-04,189,13,0,0,1,0
652,7,2018,2018-07-17,171,14,0,0,1,0
653,7,2020,2020-07-06,0,150,0,0,1,0
655,7,2020,2020-07-05,8,5513,0,0,1,0
656,7,2019,2019-07-30,13,280,0,0,1,0
657,7,2019,2019-07-30,1,13,0,0,1,0
658,7,2019,2019-07-17,3,128,0,0,1,0
659,7,2019,2019-07-16,1,81,0,0,1,0
660,7,2019,2019-07-15,0,47,0,0,1,0
661,7,2019,2019-07-15,1,213,0,0,1,0
663,7,2019,2019-07-02,0,74,0,0,1,0
664,7,2019,2019-07-03,2,283,0,0,1,0
665,7,2019,2019-07-05,0,25,0,0,1,0
666,7,2019,2019-07-05,0,24,0,0,1,0
667,7,2019,2019-07-05,1,30,0,0,1,0
668,7,2019,2019-07-05,1,263,0,0,1,0
669,7,2019,2019-07-09,1,190,0,0,1,0
670,7,2019,2019-07-11,0,20,0,0,1,0
671,7,2019,2019-07-28,8,100,0,0,1,0
672,7,2019,2019-07-12,3,100,0,0,1,0
673,7,2019,2019-07-28,14,14217,0,0,1,0
674,7,2019,2019-07-18,0,35,0,0,1,0
689,7,2019,2019-07-17,1,25,0,0,1,0
690,7,2019,2019-07-18,2,27,0,0,1,0
691,7,2019,2019-07-12,5,80,0,0,1,0
692,7,2019,2019-07-12,0,22,0,0,1,0
693,7,2019,2019-07-13,0,96,0,0,1,0
694,7,2020,2020-07-20,23,22634,0,0,1,0
695,7,2020,2020-07-20,1,30,0,0,1,0
696,7,2020,2020-07-20,29,100,0,0,1,0
697,7,2020,2020-07-19,8,340,0,0,1,0
709,7,2020,2020-07-30,1,233,0,0,1,0
710,7,2020,2020-07-30,15,220,0,0,1,0
711,7,2020,2020-07-30,1,104,0,0,1,0
712,7,2020,2020-07-29,3,185,0,0,1,0
713,7,2019,2019-07-14,2,193,0,0,1,0
714,7,2019,2019-07-14,1,131,0,0,1,0
715,7,2019,2019-07-15,1,202,0,0,1,0
716,7,2019,2019-07-08,1,974,0,0,1,0
717,7,2020,2020-07-29,1,730,0,0,1,0
718,7,2020,2020-07-20,0,75,0,0,1,0
719,7,2020,2020-07-20,1,71,0,0,1,0
721,7,2020,2020-07-20,1,135,0,0,1,0
722,7,2020,2020-07-24,27,83261,0,0,1,0
723,7,2020,2020-07-24,1,145,0,0,1,0
724,7,2020,2020-07-24,1,138,0,0,1,0
725,7,2020,2020-07-25,3,250,0,0,1,0
